Adding_machine Calculator
Bulldog_clip Fastener
Amphora Jar
Sheet_pan Kitchen_utensil
Blender Kitchen_utensil
Sauce_boat Tableware
Kettle Kitchen_utensil
Sideboard Furniture
Business_card Identity_document
Butter_dish Tableware
Tea_caddy Tin_can
Cauldron Kitchen_utensil
Can_opener Tool
Canning Physical_plant
Canning Physical_plant
Index_card Furniture
Sellotape Adhesive_tape
Chafing_dish Kitchen_utensil
Chalice Tableware
Champagne_stemware Wine_glass
Chopsticks Tableware
Coffee_cup Tableware
Computer_monitor Display_device
Controller_(computing) Mechanism_(engineering)
Joystick Lever
Cookie_jar Jar
Cookware_and_bakeware Kitchen_utensil
Cookware_and_bakeware Kitchen_utensil
Cooler Durable_good
Copyholder Mechanism_(engineering)
Crayon Writing_implement
Creamer_(vessel) Pitcher_(container)
Creel_(basket) Basket
Cruet Bottle
Cutlery Tableware
Cyclostyle_(copier) Writing_implement
Kylix_(drinking_cup) Tableware
Input_device Peripheral
Desk Furniture
Desktop_computer Computer
Dictaphone Tape_recorder
Paper_cup Tableware
Drawing_pin Fastener
Drinking_straw Tube_(container)
Dutch_oven Kitchen_utensil
Egg_cup Tableware
Light_pen Indicator_(distance_amplifying_instrument)
Marker_pen Writing_implement
Filing_cabinet Furniture
Finger_bowl Tableware
Food_processor Durable_good
Fork Tableware
Video_projector Optical_instrument
Frying_pan Kitchen_utensil
Paper_clip Fastener
Gridiron_(cooking) Kitchen_utensil
Griddle Kitchen_utensil
Headset_(audio) Transducer
Highlighter Writing_implement
Holloware Tableware
Inkjet_printing Printer_(computing)
Local_area_network Computer_network
Laptop Computer
Lazy_Susan Tray
Paper_knife Tool
Mason_jar Jar
Meat_grinder Machine_(mechanical)
Microphone Transducer
Mixer_(cooking) Kitchen_utensil
Mouse_button Mechanism_(engineering)
Moustache_cup Tableware
Napkin Napery
Transparency_(projection) Image
Overhead_projector Optical_instrument
Paper_cutter Tool
Pen Writing_implement
Pencil Writing_implement
Burr_mill Machine_(mechanical)
Table_setting Tableware
Platter_(dishware) Tableware
Porringer Tableware
Post-it_note Notebook
Cookware_and_bakeware Kitchen_utensil
Pressure_cooking Autoclave
Punch_bowl Tableware
Reset_button Mechanism_(engineering)
Ruler Measuring_instrument
Salad_bar Furniture
Salver Tray
Samovar Kitchen_utensil
Cookware_and_bakeware Kitchen_utensil
Saucer Tableware
Foodservice Tableware
Household_silver Tableware
Skewer Fastener
Meat_slicer Tool
Slop_bowl Tableware
Smörgåsbord Buffet
Staple_(fastener) Fastener
Steak_knife Tool
Food_steamer Vehicle
Stock_pot Kitchen_utensil
Sugar_bowl_(dishware) Tableware
Table_knife Tool
Tablecloth Napery
Infuser Kitchen_utensil
Tea_chest Box
Tea_set Tableware
Teacup Tableware
Teapot Kitchen_utensil
Jug Mug
Tureen Tableware
Vacuum_flask Bottle
Webcam Camera
Wok Kitchen_utensil
Attic_fan Mechanical_fan
Washing_machine Durable_good
Hair_dryer Durable_good
Can_opener Tool
Clothes_dryer Durable_good
Kitchen_stove Durable_good
Hair_iron Durable_good
Dishwasher Durable_good
Garbage_disposal_unit Durable_good
Dutch_oven Kitchen_utensil
Home_appliance Durable_good
Refrigerator Durable_good
Clothes_iron Durable_good
Mangle_(machine) Durable_good
Microwave_oven Durable_good
Mousetrap Trap_(tactic)
Oven Durable_good
Trouser_press Durable_good
Radiator_(heating) HVAC
Sewing_machine Durable_good
Clothes_iron Durable_good
Sump_pump Mechanism_(engineering)
Toaster Durable_good
Vacuum_cleaner Durable_good
Major_appliance Durable_good
